image,label
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0UTTF3VPYT.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0V4YJZF3AD.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0V8E0IZDDG.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0VFUWPESO5.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0VUR9EMBNK.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0W1T5URQKB.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0W6K866245.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0WXPG4GJU4.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0Y24AKC59B.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0YX00K947S.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\0ZBCM6JP9R.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\10K2BI8BS3.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\10KMXQ9DRC.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\10SRGCTBEP.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\11LR6JFKNU.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\11QBF37WPD.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\11TNITPK09.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\11Z4L0N866.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\12KF75ORWM.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\130YRU8J2L.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\13X9SCFHZS.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\14OAANTHH1.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\14TY1MVC6L.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\15JTNLQDHD.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\15M8LWAUW7.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\15MBXHRCVI.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\160POF3TAV.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\167B1W2HMS.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\16N5Z3FEI2.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\170TD8AONH.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\17WHL5CC86.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\187T848A6B.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\188417B651.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1949XVAPPT.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\19E3P92WNJ.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\19G3VB895B.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\19LMZNYKI3.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1A48QAD86H.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1AFRCVHJQN.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1AW32V0YRU.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1B23VVPDT5.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1B5CB5SGAK.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1BAXG4Z9WM.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1C50T9A77U.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1C53KBJCSR.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1CR8EGSSGO.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1CSIJ6YYY0.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1D1UDH83TM.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1EEPY63J1D.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1EX90NT34A.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1F94W946YV.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1FY0937C5U.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1G4CT6RUT7.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1G87ZVXQW8.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1GXA0TYOW9.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1GZT9O2RIA.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1H3LR11BPD.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1HCARWL3NW.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1HCZNZO90L.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1HI4ZFFDCM.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1HI55BCDRO.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1HQJWSKW20.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1IDU7WSLTJ.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1IFGJFECPY.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1IJV1QX9XW.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1ILM54MK9V.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1IYU36LML5.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1J88Z47YRD.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1JIMRJQDM3.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1JNLSYOE4W.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1JVLO9FANX.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1JVR3JNDE3.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1JZQXJV5FS.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1K0GBD9JTA.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1KMLYPRJNB.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1KPKHEHR22.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1L9UW6H10N.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1LE1PGISXA.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1LM5JWM5GA.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1ME2GFK2VW.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1MSF2REZ1A.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1N0TMO5VGN.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1NFLCEQSYM.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1NR57FVWOL.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1NWCOID441.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1OB2LZVM82.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1OQ9Q8BBW7.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1Q6PE9W53U.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1QD15IFPZD.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1QZHKEJKTM.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1R6MV2T877.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1RB9ADF5DR.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1S1G6PPB1W.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1SK1ZY8LTF.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1SLX00FXVP.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1SOT3HERXU.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1T2YXJ4RTL.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1T4EAJ2ZSZ.jpg,Fake
D:\OneDrive - Brown University\Learning\Y6\Deep Learning\Projects\Final\deepfake_face_detection\data\rvf10k\train\fake\1T4IE8PSKZ.jpg,Fake
